City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
596,Kisangani,CD,70.16,overcast clouds,0.5167,25.2,Grand Ramela Hotel
597,Tanhacu,BR,76.62,clear sky,-14.0214,-41.2481,Balneário Jurema
600,Bandundu,CD,82.54,clear sky,-3.3167,17.3667,Coja Color
603,West Warwick,US,86.38,few clouds,41.6969,-71.5219,SpringHill Suites by Marriott Providence West Warwick
604,Andros,GR,79.74,clear sky,37.8333,24.9333,Micra Anglia Hotel - Andros
605,Port Jervis,US,84.88,clear sky,41.3751,-74.6927,Hampton Inn Matamoras/Milford
606,Yarmouth,US,88.14,clear sky,41.7057,-70.2286,Blue Rock Resort
607,Nantucket,US,84.25,clear sky,41.2835,-70.0995,Jared Coffin House
612,Dapaong,TG,78.96,overcast clouds,10.8639,0.205,Hotel Caroli
614,Bar Harbor,US,79.65,few clouds,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
616,Teguise,ES,70.02,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
617,Dunbar,US,81.05,broken clouds,38.3606,-81.7374,"Holiday Inn & Suites Charleston West, an IHG Hotel"
618,Seydi,TM,82.98,clear sky,39.4816,62.9137,Seydi oteli
619,Boa Vista,BR,78.78,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
622,Kidal,ML,86.31,broken clouds,18.4411,1.4078,
624,San Pedro,PH,78.26,scattered clouds,14.35,121.0167,Palines Apartment and Guesthouse
625,Rodrigues Alves,BR,88.0,broken clouds,-7.738,-72.6509,Pousada Aconchego
629,Berwick,US,87.37,clear sky,41.0545,-76.2333,The White Birch Inn B & B
631,Sekondi,GH,73.99,broken clouds,4.937,-1.7128,Mapees Guest House
632,Millinocket,US,77.11,clear sky,45.6573,-68.7098,Katahdin Inn & Suites
635,Maracaibo,VE,86.65,clear sky,10.6317,-71.6406,Motel Aladdin
637,Palmas De Monte Alto,BR,77.58,clear sky,-14.2672,-43.1619,RAVENA AUTO POSTO LTDA
641,Maniwaki,CA,75.58,overcast clouds,46.3834,-75.966,Centre Chateau Logue
642,Ayia Galini,GR,76.39,clear sky,35.1,24.6833,Sunningdale Bungalows
644,Paracatu,BR,74.37,few clouds,-17.2222,-46.8747,Hotel Paracatu Plaza
645,Kudahuvadhoo,MV,78.58,very heavy rain,2.6708,72.8944,Niyama Private Islands Maldives
648,Tatawin,TN,83.25,clear sky,32.9297,10.4518,Sangho Privilege Tataouine
650,Kotaparh,IN,74.55,broken clouds,19.15,82.35,Atul Pattnaik
652,Beoumi,CI,74.26,overcast clouds,7.6736,-5.5764,Hôtel le Goly
655,Balkanabat,TM,84.15,clear sky,39.5108,54.3671,Nebitchi Hotel
656,Camocim,BR,79.56,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
658,Xuddur,SO,71.17,broken clouds,4.1213,43.8894,Banjanay Hotel
659,Kartarpur,IN,76.3,overcast clouds,31.44,75.4997,Kumar RO world home
660,Manicore,BR,82.35,clear sky,-5.8092,-61.3003,Hotel Durval
